X,Y,FID,datetime,siteid,tc_cfu,ec_cfu,tc_mpn,ec_mpn,p_ecc_cfu,fs_cfu,temp,ph,cond,do,dopc,phosphate_,salinity,clost_perf,ammonium_n,turb,ammonium_1,nitrite,nitrate,fcoliforms,salmonella,bod,cod,sussolids,id,sitename,river,total_coli,total_ecol,tc_cfu_log,ec_cfu_log
-292611.743912547,6698558.06957563,1,2013-09-12 10:18:00+01:00,r4,0,0,0,0,0,0,13.7,3.95,1398.0,8.13,64.4,0.1,0.71,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9384,Silbury Road,Colliter's Brook,0,0,-2.8830672004819307,-0.6630199192500617
-284290.031922165,6696286.37456484,2,2013-09-12 11:51:00+01:00,r8,0,0,0,0,0,0,13.5,7.76,732.0,8.35,66.0,0.4,0.36,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9386,Lynet Way,Brislington Brook,0,0,-2.8830672004819307,-0.6630199192500617
-284290.031922165,6696286.37456484,3,2013-10-14 11:15:00+01:00,r8,0,0,0,0,0,0,11.4,8.29,581.0,9.73,89.2,0.2,0.28,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9390,Lynet Way,Brislington Brook,0,0,-2.8830672004819307,-0.6630199192500617
-283531.51717867,6702054.50822042,4,2013-10-14 11:40:00+01:00,r17,0,0,0,0,0,0,12.9,8.24,699.0,7.56,71.8,0.3,0.34,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9392,St Anne's Ferry,River Avon,0,0,-2.8830672004819307,-0.6630199192500617
-293739.717387744,6708986.08617117,5,2013-10-14 13:00:00+01:00,r3,20100,0,0,0,0,0,11.6,8.42,597.0,9.86,90.9,0.1,0.29,0,0.0,0.0,0.0,0.0,0.0,6200,0,0,0,0,9394,Coombe Dingle,Trym,20100,0,0.561098591714061,-0.6630199192500617
-292611.743912547,6698558.06957563,6,2013-11-14 09:33:00+00:00,r4,0,0,0,0,0,0,9.7,7.67,760.0,0.0,0.0,0.03,0.37,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9395,Silbury Road,Colliter's Brook,0,0,-2.8830672004819307,-0.6630199192500617
-293739.717387744,6708986.08617117,7,2013-11-14 11:47:00+00:00,r3,8000,0,0,0,0,0,10.2,7.94,858.0,0.0,0.0,0.1,0.42,0,0.0,0.0,0.0,0.0,0.0,2000,0,0,0,0,9401,Coombe Dingle,Trym,8000,0,0.24089189922726695,-0.6630199192500617
-292611.743912547,6698558.06957563,8,2014-01-15 10:15:00+00:00,r4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9409,Silbury Road,Colliter's Brook,0,0,-2.8830672004819307,-0.6630199192500617
-292611.743912547,6698558.06957563,9,2014-02-11 09:55:00+00:00,r4,0,0,0,0,0,0,7.3,7.99,633.0,11.11,92.4,0.03,0.31,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9416,Silbury Road,Colliter's Brook,0,0,-2.8830672004819307,-0.6630199192500617
-292611.743912547,6698558.06957563,10,2014-03-19 10:00:00+00:00,r4,0,0,0,0,0,0,8.9,7.32,1043.0,0.16,1.4,0.03,0.52,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9423,Silbury Road,Colliter's Brook,0,0,-2.8830672004819307,-0.6630199192500617
-289038.548901351,6699277.00705367,11,2014-03-19 10:20:00+00:00,r7a,0,0,0,0,0,0,9.4,7.56,1036.0,10.03,88.0,0.1,0.52,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9424,Cotswold Road,Malago,0,0,-2.8830672004819307,-0.6630199192500617
-289038.548901351,6699277.00705367,12,2014-04-16 11:18:00+01:00,r7a,0,0,0,0,0,0,9.0,8.42,950.0,0.0,0.0,0.09,0.47,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9431,Cotswold Road,Malago,0,0,-2.8830672004819307,-0.6630199192500617
-291161.311615505,6695884.74137985,13,2014-05-15 12:12:00+01:00,r6,201000,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16000,0,0,0,0,9438,Manor Woods,Malago,201000,0,1.3614529051526414,-0.6630199192500617
-289038.548901351,6699277.00705367,14,2014-05-15 10:50:00+01:00,r7a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9442,Cotswold Road,Malago,0,0,-2.8830672004819307,-0.6630199192500617
-289397.383291871,6710253.50283951,15,2014-05-19 12:01:00+01:00,r2,201000,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1000,0,0,0,0,9446,Trowbridge Road,Trym,201000,0,1.3614529051526414,-0.6630199192500617
-283014.090955939,6707767.99615392,16,2014-05-19 12:35:00+01:00,r14,2010,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,110,0,0,0,0,9449,Snuff Mills,Frome,2010,0,-0.23911568778340225,-0.6630199192500617
-286809.394434124,6704598.86286139,17,2014-05-19 12:52:00+01:00,r15,24000,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11000,0,0,0,0,9451,Mina Park,Horfield Brook,24000,0,0.6227364152540061,-0.6630199192500617
-290357.993490483,6709588.91754961,18,2014-06-25 11:15:00+01:00,r2a,36000,0,0,0,0,0,16.3,7.99,794.0,4.81,49.1,0.0,0.39,0,0.0,0.0,0.0,0.0,0.0,3200,0,0,0,0,9460,Badock's Wood,Trym,36000,0,0.7636697270514895,-0.6630199192500617
